x,y
1,462
1,7747
2,3239
2,4970
3,924
3,7285
4,1313
4,6896
7,1551
7,6658
9,2943
9,5266
11,2784
11,5425
13,2135
13,6074
14,561
14,7648
20,2119
20,6090
21,242
21,7967
22,1619
22,6590
23,420
23,7789
27,1544
27,6665
28,3700
28,4509
29,1421
29,6788
31,1953
31,6256
32,2878
32,5331
33,292
33,7917
34,896
34,7313
38,3336
38,4873
39,1022
39,7187
41,1085
41,7124
43,3403
43,4806
45,3157
45,5052
46,383
46,7826
47,3421
47,4788
49,2384
49,5825
52,3062
52,5147
53,2152
53,6057
54,4044
54,4165
55,3252
55,4957
59,287
59,7922
61,3721
61,4488
62,4055
62,4154
65,1405
65,6804
66,3401
66,4808
68,1357
68,6852
69,3658
69,4551
70,1775
70,6434
71,1867
71,6342
74,3399
74,4810
76,782
76,7427
77,2856
77,5353
79,1121
79,7088
80,1739
80,6470
81,2624
81,5585
82,3366
82,4843
83,966
83,7243
86,1039
86,7170
89,3145
89,5064
90,3368
90,4841
91,2916
91,5293
93,1787
93,6422
96,1553
96,6656
97,2521
97,5688
98,2627
98,5582
99,616
99,7593
100,3432
100,4777
101,1214
101,6995
103,2691
103,5518
104,2148
104,6061
105,1527
105,6682
106,3389
106,4820
110,37
110,8172
114,2386
114,5823
116,1492
116,6717
117,3339
117,4870
121,349
121,7860
123,477
123,7732
124,3934
124,4275
125,1987
125,6222
128,3151
128,5058
131,3880
131,4329
134,3094
134,5115
135,2499
135,5710
136,3986
136,4223
137,2000
137,6209
141,3852
141,4357
144,1334
144,6875
145,2420
145,5789
146,3323
146,4886
149,425
149,7784
150,1256
150,6953
153,3839
153,4370
155,1423
155,6786
157,3888
157,4321
160,6
160,8203
164,1609
164,6600
168,1534
168,6675
170,2917
170,5292
173,80
173,8129
176,691
176,7518
177,280
177,7929
180,1027
180,7182
182,744
182,7465
183,3142
183,5067
185,1387
185,6822
189,1207
189,7002
190,2286
190,5923
191,2486
191,5723
192,786
192,7423
196,1686
196,6523
198,2417
198,5792
199,1551
199,6658
203,3999
203,4210
210,2521
210,5688
211,190
211,8019
212,297
212,7912
214,443
214,7766
215,3320
215,4889
216,877
216,7332
217,2290
217,5919
218,3074
218,5135
225,2856
225,5353
228,270
228,7939
229,2947
229,5262
230,3995
230,4214
233,3184
233,5025
238,2831
238,5378
239,3123
239,5086
243,1787
243,6422
244,3805
244,4404
247,1429
247,6780
249,1716
249,6493
251,847
251,7362
252,1829
252,6380
253,511
253,7698
254,3725
254,4484
255,89
255,8120
260,1717
260,6492
262,2791
262,5418
263,2493
263,5716
